"Feature_Name","Type","Mean_Train","SD_Train","Min_Train","Max_Train"
"Signal_Strength","integer",-79.648,17.329,-100,-50
"Latency","integer",33.847,21.226,0,110
"Required_Bandwidth","numeric",73.466,173.633,0,690
"Allocated_Bandwidth","numeric",77.04,174.353,0,690
"Resource_Allocation","integer",75.062,9.014,50,90
"Bandwidth_Deficit","numeric",-3.574,8.298,-50,0
"Bandwidth_Efficiency","numeric",115.65,34.694,100,600
"Signal_Latency_Interaction","integer",-2831.975,2176.573,-10670,0
"Resource_Pressure","numeric",25.202,15.165,0,77.25
"QoS_Score","numeric",77.88,16.359,46.752,230.2
"Signal_Category_Num","numeric",2.402,1.266,1,4
"Latency_Category_Num","numeric",2.178,0.868,1,4
"Resource_Level_Num","numeric",2.249,0.642,1,3
"Application_TypeBackground_Download","numeric",0.106,0.308,0,1
"Application_TypeEmergency_Service","numeric",0.106,0.308,0,1
"Application_TypeFile_Download","numeric",0.003,0.056,0,1
"Application_TypeIoT_Temperature","numeric",0.037,0.19,0,1
"Application_TypeOnline_Gaming","numeric",0.115,0.32,0,1
"Application_TypeStreaming","numeric",0.118,0.324,0,1
"Application_TypeVideo_Call","numeric",0.15,0.357,0,1
"Application_TypeVideo_Streaming","numeric",0.118,0.324,0,1
"Application_TypeVoice_Call","numeric",0,0,0,0
"Application_TypeVoIP_Call","numeric",0.131,0.338,0,1
"Application_TypeWeb_Browsing","numeric",0.115,0.32,0,1
